Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
"a list of tuple of sentences and expected results, where a sentence is a list of str, and a result is None, or bool, or int",,,,,,,,,,,,
comment_chars – str of possible comment characters.,,,,,,,,,,,,
"encoding – the encoding of the string, if it is binary",,,,,,,,,,,,
"Load a grammar from a file, and build a parser based on that grammar. The parser depends on the grammar format, and might also depend on properties of the grammar itself.",Load grammar from file and build parser on grammar,Build parser,Build parser,,"Load a grammar from a file
Build a parser based on that grammar","Load a grammar from a file
Build a parser based on that grammar","Load a grammar from a file
Build a parser based on that grammar",1,,,load grammar from file,build parser
cfg' (CFGs: CFG),,,,,,,,,,,,
pcfg' (probabilistic CFGs: PCFG),,,,,,,,,,,,
fcfg' (feature-based CFGs: FeatureGrammar),,,,,,,,,,,,
"grammar_url (str) – A URL specifying where the grammar is located. The default protocol is nltk:, which searches for the file in the the NLTK data package.",,Specify grammar,,,"Specify where grammar is located
Search for the file in the NLTK data package",,"Specify where grammar is located
Search for the file in the NLTK data package",1,,,,
trace (int) – The level of tracing that should be used when parsing a text. 0 will generate no tracing output; and higher numbers will produce more verbose tracing output.,,Generate tracing output,,,"Generate no tracing output
Produce more verbose tracing output","Generate no tracing output
Produce more verbose tracing output","Generate no tracing output
Produce more verbose tracing output",1,,,,
"parser – The class used for parsing; should be ChartParser or a subclass. If None, the class depends on the grammar format.",,,,,,,,,,,use  for parsing,
"chart_class – The class used for storing the chart; should be Chart or a subclass. Only used for CFGs and feature CFGs. If None, the chart class depends on the grammar format.",,,,,,,,,,,"store chart
use  for storing
use  for cfgs
use  for feature",store chart
beam_size (int) – The maximum length for the parser’s edge queue. Only used for probabilistic CFGs.,,,,,,,,,,,use  for probabilistic cfgs,
load_args – Keyword parameters used when loading the grammar. See data.load for more information.,,,,,,,,,,,load grammar,
A module to convert a single POS tagged sentence into CONLL format.,,Convert sentence into CONLL format,Convert sentence into CONLL format,,Convert a single POS tagged sentence into CONLL format,Convert a single POS tagged sentence into CONLL format,Convert a single POS tagged sentence into CONLL format,0,,,convert single POS,convert single POS
"sentence (list(tuple(str, str))) – A single input sentence to parse",,,,,,,,,,,,
iter(str),,,,,,,,,,,,
a generator yielding a single sentence in CONLL format.,,,,,Yield single sentence in CONLL format,Yield single sentence in CONLL format,Yield single sentence in CONLL format,1,,,,
"A module to convert the a POS tagged document stream (i.e. list of list of tuples, a list of sentences) and yield lines in CONLL format. This module yields one line per word and two newlines for end of sentence.",,Convert document stream,,,Convert the POS tagged document stream and yield lines in CONLL format,Convert the POS tagged document stream and yield lines in CONLL format,Convert the POS tagged document stream and yield lines in CONLL format,1,,,convert POS,convert POS
sentences – Input sentences to parse,,,,,,,,,,,,
iter(str),,,,,,,,,,,,
a generator yielding sentences in CONLL format.,,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
"A bottom-up PCFG parser that uses dynamic programming to find the single most likely parse for a text. The ViterbiParser parser parses texts by filling in a “most likely constituent table”. This table records the most probable tree representation for any given span and node value. In particular, it has an entry for every start index, end index, and node value, recording the most likely subtree that spans from the start index to the end index, and has the given node value.",,Parse text,,,"Use dynamic programming to find the single most likely parse for a text
Fill in a most likely constituent table
Record the most probably tree representation for any given span and node value",Use dynamic programming to find the single most likely parse for a text,"Use dynamic programming to find the single most likely parse for a text
Fill in a most likely constituent table",1,,,,
"The ViterbiParser parser fills in this table incrementally. It starts by filling in all entries for constituents that span one element of text (i.e., entries where the end index is one greater than the start index). After it has filled in all table entries for constituents that span one element of text, it fills in the entries for constitutants that span two elements of text. It continues filling in the entries for constituents spanning larger and larger portions of the text, until the entire table has been filled. Finally, it returns the table entry for a constituent spanning the entire text, whose node value is the grammar’s start symbol.",,,,,"Fill all entries for constituents
Return the table entry for a constituent",,"Fill all entries for constituents
Return the table entry for a constituent",1,,,,
"In order to find the most likely constituent with a given span and node value, the ViterbiParser parser considers all productions that could produce that node value. For each production, it finds all children that collectively cover the span and have the node values specified by the production’s right hand side. If the probability of the tree formed by applying the production to the children is greater than the probability of the current entry in the table, then the table is updated with this new tree.",,,,,"Find the most likely constituent with a given span and node value
Conder all productions that could produce that node value
Find all children that colelctively cover the span
Update table with this new tree","Find the most likely constituent with a given span and node value
",,1,,,,
A pseudo-code description of the algorithm used by ViterbiParser is:,,,,,,,,,,,,
_grammar – The grammar used to parse sentences.,,,,,,,,,,,,parse sentences
_trace – The level of tracing output that should be generated when parsing a text.,,,,,,,,,,,generate output,"parse text
generate output"
The grammar used by this parser.,,,,,,,,,,,use  by parser,
An iterator that generates parse trees for the sentence.,,Generate parse trees,,,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,1,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,Sort list from most likely to least likely,,,1,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
Set the level of tracing output that should be generated when parsing a text.,Set level of tracing output when parsing text,Set tracing level,Set tracing level,Set tracing level,Set the level of tracing output that should be generated when parsing a text,Set the level of tracing output that should be generated when parsing a text,Set the level of tracing output that should be generated when parsing a text,0,,,"set level of tracing
generate output","set level of tracing
parse text
generate output"
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,,Generate tracing output,,,"Generate no tracing output
Produce more verbose tracing output",,"Generate no tracing output
Produce more verbose tracing output",1,,,,
None,,,,,,,,,,,,
"A demonstration of the probabilistic parsers. The user is prompted to select which demo to run, and how many parses should be found; and then each parser is run on the same demo, and a summary of the results are displayed.",,,,,,,,,,,,
NLTK Parsers,,,,,,,,,,,,
"Classes and interfaces for producing tree structures that represent the internal organization of a text. This task is known as “parsing” the text, and the resulting tree structures are called the text’s “parses”. Typically, the text is a single sentence, and the tree structure represents the syntactic structure of the sentence. However, parsers can also be used in other domains. For example, parsers can be used to derive the morphological structure of the morphemes that make up a word, or to derive the discourse structure for a set of utterances.",,,,,Parse the text,Parse the text,Parse the text,1,,,,
"Sometimes, a single piece of text can be represented by more than one tree structure. Texts represented by more than one tree structure are called “ambiguous” texts. Note that there are actually two ways in which a text can be ambiguous:",,,,,,,,,,,,
The text has multiple correct parses.,,,,,,,,,,,,
There is not enough information to decide which of several candidate parses is correct.,,,,,Decide which of several candidate parses is correct,,Decide which of several candidate parses is correct,1,,,,
"However, the parser module does not distinguish these two types of ambiguity.",,,,,Distinguish two types of abmiguity,,,1,,,,
"The parser module defines ParserI, a standard interface for parsing texts; and two simple implementations of that interface, ShiftReduceParser and RecursiveDescentParser. It also contains three sub-modules for specialized kinds of parsing:",,,,,Parse text,Parse text,Parse text,1,,,,
"nltk.parser.chart defines chart parsing, which uses dynamic programming to efficiently parse texts.",,,,,"Define chart parsing
Use dynamic programming to efficiently parse texts",Use dynamic programming to efficiently parse texts,Use dynamic programming to efficiently parse texts,1,,,"define chart parsing
use dynamic programming to efficiently parse texts
use chart parsing to efficiently parse texts",
"nltk.parser.probabilistic defines probabilistic parsing, which associates a probability with each parse.",,,,,"Define probabilistic parsing
Associate a probability with each parse",Associate a probability with each parse,"Define probabilistic parsing
Associate a probability with each parse",1,,,define probabilistic parsing,
